Geo Point;Geo Shape;id;adresse;lib_off;mot_dir;sens_circulation;commune;code_insee;debut_comptage
43.58866789856065, 1.4123116482073532;"{""coordinates"": [[1.412311648207353, 43.58866789856065]], ""type"": ""MultiPoint""}";ETP4_SIMON_202001;346 route de Saint Simon;RTE DE SAINT SIMON;SIMON (RTE DE SAINT SIMON;double sens;Toulouse;31555;2020-01-20
43.61005924205067, 1.4207762181876638;"{""coordinates"": [[1.420776218187664, 43.61005924205067]], ""type"": ""MultiPoint""}";ETP18_BARCELONE_202002;150 allée de Barcelone;ALL DE BARCELONE;BARCELONE (ALL DE BARCELO;sens unique;Toulouse;31555;2020-02-04
43.61489235518084, 1.443958152312029;"{""coordinates"": [[1.443958152312029, 43.61489235518084]], ""type"": ""MultiPoint""}";ETP21_MATABIAU_202204;34 boulevard Matabiau;BD MATABIAU;MATABIAU (BD MATABIAU);sens unique;Toulouse;31555;2022-04-13
43.625761096575054, 1.431580740651981;"{""coordinates"": [[1.431580740651981, 43.625761096575054]], ""type"": ""MultiPoint""}";ETP33_TRENTIN_202002;69 boulevard Silvio Trentin;BD SILVIO TRENTIN;TRENTIN (BD SILVIO TRENTI;double sens;Toulouse;31555;2020-02-10
43.612502618337814, 1.458545236719971;"{""coordinates"": [[1.458545236719971, 43.612502618337814]], ""type"": ""MultiPoint""}";ETP58_POMPIDOU_202003;Avenue Pompidou / rue du Libre Echange;AV GEORGES POMPIDOU;POMPIDOU (AV GEORGES POMP;double sens;Toulouse;31555;2020-03-10
43.57976166784469, 1.4561324112560556;"{""coordinates"": [[1.456132411256056, 43.57976166784469]], ""type"": ""MultiPoint""}";ETP68_LAURAGAIS_202002;51 avenue du Lauragais;AV DU LAURAGAIS;LAURAGAIS (AV DU LAURAGAI;double sens;Toulouse;31555;2020-02-13
43.58686606968922, 1.4393621915130255;"{""coordinates"": [[1.439362191513025, 43.58686606968922]], ""type"": ""MultiPoint""}";ETP23_JUIN_202002;Boulevard Maréchal Juin – arrêt Platanes;BD DU MARECHAL JUIN;JUIN (BD DU MARECHAL JUIN;double sens;Toulouse;31555;2020-02-04
43.60397731795469, 1.3696757200207206;"{""coordinates"": [[1.369675720020721, 43.60397731795469]], ""type"": ""MultiPoint""}";ETP28_DAGUIN_202002;47 rue Daguin;RUE PIERRE DAGUIN;DAGUIN (RUE PIERRE);double sens;Toulouse;31555;2023-01-03
43.617264462754505, 1.458636734090303;"{""coordinates"": [[1.458636734090303, 43.617264462754505]], ""type"": ""MultiPoint""}";ETP72_PERIOLE_6043;84 rue de Périole;RUE DE PERIOLE;PERIOLE (RUE DE PERIOLE);double sens;Toulouse;31555;2022-09-29
43.596226369452474, 1.4471749234417266;"{""coordinates"": [[1.447174923441727, 43.596226369452474]], ""type"": ""MultiPoint""}";ETP16_OZENNE_202002;10 rue Ozenne;RUE THEODORE OZENNE;OZENNE (RUE THEODORE OZEN;double sens;Toulouse;31555;2020-02-04
43.60022553073465, 1.45470072189771;"{""coordinates"": [[1.45470072189771, 43.60022553073465]], ""type"": ""MultiPoint""}";ETP22_GUILHEMERY_202002;11 place Dupuy;RUE DU PONT GUILHEMERY;GUILHEMERY (RUE DU PONT G;sens unique;Toulouse;31555;2020-02-06
43.607115376295525, 1.3640977189348524;"{""coordinates"": [[1.364097718934852, 43.607115376295525]], ""type"": ""MultiPoint""}";ETP27_CLOS_202002;Face au 148 rue Dominique Clos;RUE DOMINIQUE CLOS;CLOS (RUE DOMINIQUE CLOS);double sens;Toulouse;31555;2020-02-11
